context,answer,syntheses
"Invoice DATE March 3, 2022	INVOICE NO 234	ABC Company 8675 River Run Road Marlington, CT 09392 INVOICE TO Delta Inc. 8723 Wilton Boulevard Los Angeles, CA HEBE HERACLES	LASER PRINTER	PAYMENT TERMS DUE DATE Due on Receipt May 3, 2022 QUANTITY DESCRIPTION UNIT PRICE LINE TOTAL 30 	Boxes of Printer Paper	$30	$900 10	Printer Cartridges	$75 $750 5	Laser printers	$500.00 $2500.00 Subtotal 4150.00 Sales Tax 10% Total 4565.00",234,234
"Invoice DATE March 3, 2022	INVOICE NO 234	ABC Company 8675 River Run Road Marlington, CT 09392 INVOICE TO Delta Inc. 8723 Wilton Boulevard Los Angeles, CA HEBE HERACLES	LASER PRINTER	PAYMENT TERMS DUE DATE Due on Receipt May 3, 2022 QUANTITY DESCRIPTION UNIT PRICE LINE TOTAL 30 	Boxes of Printer Paper	$30	$900 10	Printer Cartridges	$75 $750 5	Laser printers	$500.00 $2500.00 Subtotal 4150.00 Sales Tax 10% Total 4565.00",ABC Company and Delta Inc.,ABC Company and Delta Inc.
"Invoice DATE March 3, 2022	INVOICE NO 234	ABC Company 8675 River Run Road Marlington, CT 09392 INVOICE TO Delta Inc. 8723 Wilton Boulevard Los Angeles, CA HEBE HERACLES	LASER PRINTER	PAYMENT TERMS DUE DATE Due on Receipt May 3, 2022 QUANTITY DESCRIPTION UNIT PRICE LINE TOTAL 30 	Boxes of Printer Paper	$30	$900 10	Printer Cartridges	$75 $750 5	Laser printers	$500.00 $2500.00 Subtotal 4150.00 Sales Tax 10% Total 4565.00",30,30
"Invoice DATE March 3, 2022	INVOICE NO 234	ABC Company 8675 River Run Road Marlington, CT 09392 INVOICE TO Delta Inc. 8723 Wilton Boulevard Los Angeles, CA HEBE HERACLES	LASER PRINTER	PAYMENT TERMS DUE DATE Due on Receipt May 3, 2022 QUANTITY DESCRIPTION UNIT PRICE LINE TOTAL 30 	Boxes of Printer Paper	$30	$900 10	Printer Cartridges	$75 $750 5	Laser printers	$500.00 $2500.00 Subtotal 4150.00 Sales Tax 10% Total 4565.00",Due on Receipt,Due on Receipt
"Invoice DATE March 3, 2022	INVOICE NO 234	ABC Company 8675 River Run Road Marlington, CT 09392 INVOICE TO Delta Inc. 8723 Wilton Boulevard Los Angeles, CA HEBE HERACLES	LASER PRINTER	PAYMENT TERMS DUE DATE Due on Receipt May 3, 2022 QUANTITY DESCRIPTION UNIT PRICE LINE TOTAL 30 	Boxes of Printer Paper	$30	$900 10	Printer Cartridges	$75 $750 5	Laser printers	$500.00 $2500.00 Subtotal 4150.00 Sales Tax 10% Total 4565.00","8675 River Run Road, Marlington, CT 09392","8675 River Run Road, Marlington, CT 09392"
"Invoice DATE March 3, 2022	INVOICE NO 234	ABC Company 8675 River Run Road Marlington, CT 09392 INVOICE TO Delta Inc. 8723 Wilton Boulevard Los Angeles, CA HEBE HERACLES	LASER PRINTER	PAYMENT TERMS DUE DATE Due on Receipt May 3, 2022 QUANTITY DESCRIPTION UNIT PRICE LINE TOTAL 30 	Boxes of Printer Paper	$30	$900 10	Printer Cartridges	$75 $750 5	Laser printers	$500.00 $2500.00 Subtotal 4150.00 Sales Tax 10% Total 4565.00","March 3, 2022","March 3, 2022"
"Joe Biden's tenure as the 46th president of the United States began with his inauguration on January 20, 2021. Biden, a Democrat from Delaware who previously served as vice president under Barack Obama, took office following his victory in the 2020 presidential election over Republican incumbent president Donald Trump. Upon his inauguration, he became the oldest president in American history.","January 20, 2021","January 20, 2021"
"Joe Biden's tenure as the 46th president of the United States began with his inauguration on January 20, 2021. Biden, a Democrat from Delaware who previously served as vice president under Barack Obama, took office following his victory in the 2020 presidential election over Republican incumbent president Donald Trump. Upon his inauguration, he became the oldest president in American history.",Donald Trump,Donald Trump
"Joe Biden's tenure as the 46th president of the United States began with his inauguration on January 20, 2021. Biden, a Democrat from Delaware who previously served as vice president under Barack Obama, took office following his victory in the 2020 presidential election over Republican incumbent president Donald Trump. Upon his inauguration, he became the oldest president in American history.",Delaware,Delaware
"Joe Biden's tenure as the 46th president of the United States began with his inauguration on January 20, 2021. Biden, a Democrat from Delaware who previously served as vice president under Barack Obama, took office following his victory in the 2020 presidential election over Republican incumbent president Donald Trump. Upon his inauguration, he became the oldest president in American history.",Barack Obama,Barack Obama
"Though Biden was generally acknowledged as the winner, General Services Administration head Emily W. Murphy initially refused to begin the transition to the president-elect, thereby denying funds and office space to his team. On November 23, after Michigan certified its results, Murphy issued the letter of ascertainment, granting the Biden transition team access to federal funds and resources for an orderly transition. Two days after becoming the projected winner of the 2020 election, Biden announced the formation of a task force to advise him on the COVID-19 pandemic during the transition, co-chaired by former Surgeon General Vivek Murthy, former FDA commissioner David A. Kessler, and Yale University's Marcella Nunez-Smith. On January 5, 2021, the Democratic Party won control of the United States Senate, effective January 20, as a result of electoral victories in Georgia by Jon Ossoff in a runoff election for a six-year term and Raphael Warnock in a special runoff election for a two-year term. President-elect Biden had supported and campaigned for both candidates prior to the runoff elections on January 5.On January 6, a mob of thousands of Trump supporters violently stormed the Capitol in the hope of overturning Biden's election, forcing Congress to evacuate during the counting of the Electoral College votes. More than 26,000 National Guard members were deployed to the capital for the inauguration, with thousands remaining into the spring.","1. former Surgeon General Vivek Murthy;
2. former FDA commissioner David A. Kessler;
3. Yale University's Marcella Nunez-Smith.","Vivek Murthy, David A. Kessler, Marcella Nunez-Smith"
"Though Biden was generally acknowledged as the winner, General Services Administration head Emily W. Murphy initially refused to begin the transition to the president-elect, thereby denying funds and office space to his team. On November 23, after Michigan certified its results, Murphy issued the letter of ascertainment, granting the Biden transition team access to federal funds and resources for an orderly transition. Two days after becoming the projected winner of the 2020 election, Biden announced the formation of a task force to advise him on the COVID-19 pandemic during the transition, co-chaired by former Surgeon General Vivek Murthy, former FDA commissioner David A. Kessler, and Yale University's Marcella Nunez-Smith. On January 5, 2021, the Democratic Party won control of the United States Senate, effective January 20, as a result of electoral victories in Georgia by Jon Ossoff in a runoff election for a six-year term and Raphael Warnock in a special runoff election for a two-year term. President-elect Biden had supported and campaigned for both candidates prior to the runoff elections on January 5.On January 6, a mob of thousands of Trump supporters violently stormed the Capitol in the hope of overturning Biden's election, forcing Congress to evacuate during the counting of the Electoral College votes. More than 26,000 National Guard members were deployed to the capital for the inauguration, with thousands remaining into the spring.",Jon Ossoff and Raphael Warnock,Jon Ossoff and Raphael Warnock
"Though Biden was generally acknowledged as the winner, General Services Administration head Emily W. Murphy initially refused to begin the transition to the president-elect, thereby denying funds and office space to his team. On November 23, after Michigan certified its results, Murphy issued the letter of ascertainment, granting the Biden transition team access to federal funds and resources for an orderly transition. Two days after becoming the projected winner of the 2020 election, Biden announced the formation of a task force to advise him on the COVID-19 pandemic during the transition, co-chaired by former Surgeon General Vivek Murthy, former FDA commissioner David A. Kessler, and Yale University's Marcella Nunez-Smith. On January 5, 2021, the Democratic Party won control of the United States Senate, effective January 20, as a result of electoral victories in Georgia by Jon Ossoff in a runoff election for a six-year term and Raphael Warnock in a special runoff election for a two-year term. President-elect Biden had supported and campaigned for both candidates prior to the runoff elections on January 5.On January 6, a mob of thousands of Trump supporters violently stormed the Capitol in the hope of overturning Biden's election, forcing Congress to evacuate during the counting of the Electoral College votes. More than 26,000 National Guard members were deployed to the capital for the inauguration, with thousands remaining into the spring.",Two-year term,Two-year
"Though Biden was generally acknowledged as the winner, General Services Administration head Emily W. Murphy initially refused to begin the transition to the president-elect, thereby denying funds and office space to his team. On November 23, after Michigan certified its results, Murphy issued the letter of ascertainment, granting the Biden transition team access to federal funds and resources for an orderly transition. Two days after becoming the projected winner of the 2020 election, Biden announced the formation of a task force to advise him on the COVID-19 pandemic during the transition, co-chaired by former Surgeon General Vivek Murthy, former FDA commissioner David A. Kessler, and Yale University's Marcella Nunez-Smith. On January 5, 2021, the Democratic Party won control of the United States Senate, effective January 20, as a result of electoral victories in Georgia by Jon Ossoff in a runoff election for a six-year term and Raphael Warnock in a special runoff election for a two-year term. President-elect Biden had supported and campaigned for both candidates prior to the runoff elections on January 5.On January 6, a mob of thousands of Trump supporters violently stormed the Capitol in the hope of overturning Biden's election, forcing Congress to evacuate during the counting of the Electoral College votes. More than 26,000 National Guard members were deployed to the capital for the inauguration, with thousands remaining into the spring.","26,000","26,000"
"Though Biden was generally acknowledged as the winner, General Services Administration head Emily W. Murphy initially refused to begin the transition to the president-elect, thereby denying funds and office space to his team. On November 23, after Michigan certified its results, Murphy issued the letter of ascertainment, granting the Biden transition team access to federal funds and resources for an orderly transition. Two days after becoming the projected winner of the 2020 election, Biden announced the formation of a task force to advise him on the COVID-19 pandemic during the transition, co-chaired by former Surgeon General Vivek Murthy, former FDA commissioner David A. Kessler, and Yale University's Marcella Nunez-Smith. On January 5, 2021, the Democratic Party won control of the United States Senate, effective January 20, as a result of electoral victories in Georgia by Jon Ossoff in a runoff election for a six-year term and Raphael Warnock in a special runoff election for a two-year term. President-elect Biden had supported and campaigned for both candidates prior to the runoff elections on January 5.On January 6, a mob of thousands of Trump supporters violently stormed the Capitol in the hope of overturning Biden's election, forcing Congress to evacuate during the counting of the Electoral College votes. More than 26,000 National Guard members were deployed to the capital for the inauguration, with thousands remaining into the spring.",November 23,November 23
"Microsoft Cloud Strength Drives Third Quarter Results 
REDMOND, Wash. — April 25, 2023 — Microsoft Corp. today announced the following results for the quarter ended March 31, 2023, as compared to the corresponding period of last fiscal year:
· Revenue was $52.9 billion and increased 7% (up 10% in constant currency)
· Operating income was $22.4 billion and increased 10% (up 15% in constant currency)
· Net income was $18.3 billion and increased 9% (up 14% in constant currency)
· Diluted earnings per share was $2.45 and increased 10% (up 14% in constant currency).
",$52.9 billion,$52.9 billion
"Microsoft Cloud Strength Drives Third Quarter Results 
REDMOND, Wash. — April 25, 2023 — Microsoft Corp. today announced the following results for the quarter ended March 31, 2023, as compared to the corresponding period of last fiscal year:
· Revenue was $52.9 billion and increased 7% (up 10% in constant currency)
· Operating income was $22.4 billion and increased 10% (up 15% in constant currency)
· Net income was $18.3 billion and increased 9% (up 14% in constant currency)
· Diluted earnings per share was $2.45 and increased 10% (up 14% in constant currency).
","Increased 10%, up 15% in constant currency",10%
"Microsoft Cloud Strength Drives Third Quarter Results 
REDMOND, Wash. — April 25, 2023 — Microsoft Corp. today announced the following results for the quarter ended March 31, 2023, as compared to the corresponding period of last fiscal year:
· Revenue was $52.9 billion and increased 7% (up 10% in constant currency)
· Operating income was $22.4 billion and increased 10% (up 15% in constant currency)
· Net income was $18.3 billion and increased 9% (up 14% in constant currency)
· Diluted earnings per share was $2.45 and increased 10% (up 14% in constant currency).
","March 31, 2023","March 31, 2023"
"'The world's most advanced AI models are coming together with the world's most universal user interface - natural language - to create a new era of computing,' said Satya Nadella, chairman and chief executive officer of Microsoft. 'Across the Microsoft Cloud, we are the platform of choice to help customers get the most value out of their digital spend and innovate for this next generation of AI.' 'Focused execution by our sales teams and partners in this dynamic environment resulted in Microsoft Cloud revenue of $28.5 billion, up 22% (up 25% in constant currency) year-over-year,' said Amy Hood, executive vice president and chief financial officer of Microsoft.
",Focused execution by our sales teams and partners,Focused execution by our sales teams and partners
"'The world's most advanced AI models are coming together with the world's most universal user interface - natural language - to create a new era of computing,' said Satya Nadella, chairman and chief executive officer of Microsoft. 'Across the Microsoft Cloud, we are the platform of choice to help customers get the most value out of their digital spend and innovate for this next generation of AI.' 'Focused execution by our sales teams and partners in this dynamic environment resulted in Microsoft Cloud revenue of $28.5 billion, up 22% (up 25% in constant currency) year-over-year,' said Amy Hood, executive vice president and chief financial officer of Microsoft.
",$28.5 billion,$28.5 billion
"Business Highlights
Revenue in Productivity and Business Processes was $17.5 billion and increased 11% (up 15% in constant currency), with the following business highlights:
· Office Commercial products and cloud services revenue increased 13% (up 17% in constant currency) driven by Office 365 Commercial revenue growth of 14% (up 18% in constant currency).
· Office Consumer products and cloud services revenue increased 1% (up 4% in constant currency) and Microsoft 365 Consumer subscribers grew to 65.4 million.
· LinkedIn revenue increased 8% (up 10% in constant currency).
· Dynamics products and cloud services revenue increased 17% (up 21% in constant currency) driven by Dynamics 365 revenue growth of 25% (up 29% in constant currency).
Revenue in Intelligent Cloud was $22.1 billion and increased 16% (up 19% in constant currency), with the following business highlights:
· Server products and cloud services revenue increased 17% (up 21% in constant currency) driven by Azure and other cloud services revenue growth of 27% (up 31% in constant currency).
Revenue in More Personal Computing was $13.3 billion and decreased 9% (down 7% in constant currency), with the following business highlights:
· Windows OEM revenue decreased 28%;
· Devices revenue decreased 30% (down 26% in constant currency);
· Windows Commercial products and cloud services revenue increased 14% (up 18% in constant currency)'
· Xbox content and services revenue increased 3% (up 5% in constant currency);
· Search and news advertising revenue excluding traffic acquisition costs increased 10% (up 13% in constant currency.)",10%,10%
"Business Highlights
Revenue in Productivity and Business Processes was $17.5 billion and increased 11% (up 15% in constant currency), with the following business highlights:
· Office Commercial products and cloud services revenue increased 13% (up 17% in constant currency) driven by Office 365 Commercial revenue growth of 14% (up 18% in constant currency).
· Office Consumer products and cloud services revenue increased 1% (up 4% in constant currency) and Microsoft 365 Consumer subscribers grew to 65.4 million.
· LinkedIn revenue increased 8% (up 10% in constant currency).
· Dynamics products and cloud services revenue increased 17% (up 21% in constant currency) driven by Dynamics 365 revenue growth of 25% (up 29% in constant currency).
Revenue in Intelligent Cloud was $22.1 billion and increased 16% (up 19% in constant currency), with the following business highlights:
· Server products and cloud services revenue increased 17% (up 21% in constant currency) driven by Azure and other cloud services revenue growth of 27% (up 31% in constant currency).
Revenue in More Personal Computing was $13.3 billion and decreased 9% (down 7% in constant currency), with the following business highlights:
· Windows OEM revenue decreased 28%;
· Devices revenue decreased 30% (down 26% in constant currency);
· Windows Commercial products and cloud services revenue increased 14% (up 18% in constant currency)'
· Xbox content and services revenue increased 3% (up 5% in constant currency);
· Search and news advertising revenue excluding traffic acquisition costs increased 10% (up 13% in constant currency.)",65.4 million,65.4 million
"Business Highlights
Revenue in Productivity and Business Processes was $17.5 billion and increased 11% (up 15% in constant currency), with the following business highlights:
· Office Commercial products and cloud services revenue increased 13% (up 17% in constant currency) driven by Office 365 Commercial revenue growth of 14% (up 18% in constant currency).
· Office Consumer products and cloud services revenue increased 1% (up 4% in constant currency) and Microsoft 365 Consumer subscribers grew to 65.4 million.
· LinkedIn revenue increased 8% (up 10% in constant currency).
· Dynamics products and cloud services revenue increased 17% (up 21% in constant currency) driven by Dynamics 365 revenue growth of 25% (up 29% in constant currency).
Revenue in Intelligent Cloud was $22.1 billion and increased 16% (up 19% in constant currency), with the following business highlights:
· Server products and cloud services revenue increased 17% (up 21% in constant currency) driven by Azure and other cloud services revenue growth of 27% (up 31% in constant currency).
Revenue in More Personal Computing was $13.3 billion and decreased 9% (down 7% in constant currency), with the following business highlights:
· Windows OEM revenue decreased 28%;
· Devices revenue decreased 30% (down 26% in constant currency);
· Windows Commercial products and cloud services revenue increased 14% (up 18% in constant currency)'
· Xbox content and services revenue increased 3% (up 5% in constant currency);
· Search and news advertising revenue excluding traffic acquisition costs increased 10% (up 13% in constant currency.)",$22.1 billion,$22.1 billion
"The study of mechanical or 'formal' reasoning began with philosophers and mathematicians in antiquity. The study of logic led directly to Alan Turing's theory of computation, which suggested that a machine, by shuffling symbols as simple as '0' and '1', could simulate both mathematical deduction and formal reasoning, which is known as the Church–Turing thesis.  This, along with concurrent discoveries in cybernetics and information theory, led researchers to consider the possibility of building an 'electronic brain'.  The first paper later recognized as 'AI' was McCullouch and Pitts design for Turing-complete 'artificial neurons' in 1943.  The field of AI research was founded at a workshop at Dartmouth College in 1956.",1956,1956
"The study of mechanical or 'formal' reasoning began with philosophers and mathematicians in antiquity. The study of logic led directly to Alan Turing's theory of computation, which suggested that a machine, by shuffling symbols as simple as '0' and '1', could simulate both mathematical deduction and formal reasoning, which is known as the Church–Turing thesis.  This, along with concurrent discoveries in cybernetics and information theory, led researchers to consider the possibility of building an 'electronic brain'.  The first paper later recognized as 'AI' was McCullouch and Pitts design for Turing-complete 'artificial neurons' in 1943.  The field of AI research was founded at a workshop at Dartmouth College in 1956.","A machine, by shuffling symbols as simple as '0' and '1' can simulate both mathematical deduction and formal reasoning.","A machine, by shuffling symbols as simple as '0' and '1', could simulate both mathematical deduction and formal reasoning"
"The study of mechanical or 'formal' reasoning began with philosophers and mathematicians in antiquity. The study of logic led directly to Alan Turing's theory of computation, which suggested that a machine, by shuffling symbols as simple as '0' and '1', could simulate both mathematical deduction and formal reasoning, which is known as the Church–Turing thesis.  This, along with concurrent discoveries in cybernetics and information theory, led researchers to consider the possibility of building an 'electronic brain'.  The first paper later recognized as 'AI' was McCullouch and Pitts design for Turing-complete 'artificial neurons' in 1943.  The field of AI research was founded at a workshop at Dartmouth College in 1956.",1943,1943
"The study of mechanical or 'formal' reasoning began with philosophers and mathematicians in antiquity. The study of logic led directly to Alan Turing's theory of computation, which suggested that a machine, by shuffling symbols as simple as '0' and '1', could simulate both mathematical deduction and formal reasoning, which is known as the Church–Turing thesis.  This, along with concurrent discoveries in cybernetics and information theory, led researchers to consider the possibility of building an 'electronic brain'.  The first paper later recognized as 'AI' was McCullouch and Pitts design for Turing-complete 'artificial neurons' in 1943.  The field of AI research was founded at a workshop at Dartmouth College in 1956.",1956,1956
"The attendees became the leaders of AI research in the 1960s.  They and their students produced programs that the press described as 'astonishing': computers were learning checkers strategies, solving word problems in algebra, proving logical theorems and speaking English.  By the middle of the 1960s, research in the U.S. was heavily funded by the Department of Defense and laboratories had been established around the world. Herbert Simon predicted, 'machines will be capable, within twenty years, of doing any work a man can do'.  Marvin Minsky agreed, writing, 'within a generation ... the problem of creating 'artificial intelligence' will substantially be solved'. They had, however, underestimated the difficulty of the problem.  Both the U.S. and British governments cut off exploratory research in response to the criticism of Sir James Lighthill and ongoing pressure from the US Congress to fund more productive projects. Minsky's and Papert's book Perceptrons was understood as proving that artificial neural networks approach would never be useful for solving real-world tasks, thus discrediting the approach altogether.  The 'AI winter', a period when obtaining funding for AI projects was difficult, followed.  In the early 1980s, AI research was revived by the commercial success of expert systems, a form of AI program that simulated the knowledge and analytical skills of human experts. By 1985, the market for AI had reached over a billion dollars. At the same time, Japan's fifth generation computer project inspired the U.S. and British governments to restore funding for academic research. However, beginning with the collapse of the Lisp Machine market in 1987, AI once again fell into disrepute, and a second, longer-lasting winter began.",A period when obtaining funding for AI projects is difficult.,A period when obtaining funding for AI projects is difficult.
"The attendees became the leaders of AI research in the 1960s.  They and their students produced programs that the press described as 'astonishing': computers were learning checkers strategies, solving word problems in algebra, proving logical theorems and speaking English.  By the middle of the 1960s, research in the U.S. was heavily funded by the Department of Defense and laboratories had been established around the world. Herbert Simon predicted, 'machines will be capable, within twenty years, of doing any work a man can do'.  Marvin Minsky agreed, writing, 'within a generation ... the problem of creating 'artificial intelligence' will substantially be solved'. They had, however, underestimated the difficulty of the problem.  Both the U.S. and British governments cut off exploratory research in response to the criticism of Sir James Lighthill and ongoing pressure from the US Congress to fund more productive projects. Minsky's and Papert's book Perceptrons was understood as proving that artificial neural networks approach would never be useful for solving real-world tasks, thus discrediting the approach altogether.  The 'AI winter', a period when obtaining funding for AI projects was difficult, followed.  In the early 1980s, AI research was revived by the commercial success of expert systems, a form of AI program that simulated the knowledge and analytical skills of human experts. By 1985, the market for AI had reached over a billion dollars. At the same time, Japan's fifth generation computer project inspired the U.S. and British governments to restore funding for academic research. However, beginning with the collapse of the Lisp Machine market in 1987, AI once again fell into disrepute, and a second, longer-lasting winter began.",He predicted that machines would be capable of doing any work a man can do within twenty years.,"‘machines will be capable, within twenty years, of doing any work a man can do’"
"The attendees became the leaders of AI research in the 1960s.  They and their students produced programs that the press described as 'astonishing': computers were learning checkers strategies, solving word problems in algebra, proving logical theorems and speaking English.  By the middle of the 1960s, research in the U.S. was heavily funded by the Department of Defense and laboratories had been established around the world. Herbert Simon predicted, 'machines will be capable, within twenty years, of doing any work a man can do'.  Marvin Minsky agreed, writing, 'within a generation ... the problem of creating 'artificial intelligence' will substantially be solved'. They had, however, underestimated the difficulty of the problem.  Both the U.S. and British governments cut off exploratory research in response to the criticism of Sir James Lighthill and ongoing pressure from the US Congress to fund more productive projects. Minsky's and Papert's book Perceptrons was understood as proving that artificial neural networks approach would never be useful for solving real-world tasks, thus discrediting the approach altogether.  The 'AI winter', a period when obtaining funding for AI projects was difficult, followed.  In the early 1980s, AI research was revived by the commercial success of expert systems, a form of AI program that simulated the knowledge and analytical skills of human experts. By 1985, the market for AI had reached over a billion dollars. At the same time, Japan's fifth generation computer project inspired the U.S. and British governments to restore funding for academic research. However, beginning with the collapse of the Lisp Machine market in 1987, AI once again fell into disrepute, and a second, longer-lasting winter began.",1987.,1987
"THIS EXECUTIVE EMPLOYMENT AGREEMENT (this “Agreement”) is entered into this 2nd day of April, 2012, by and between Aphrodite Apollo (“Executive”) and TestCo Software, Inc. (the “Company” or “Employer”), and shall become effective upon Executive’s commencement of employment (the “Effective Date”) which is expected to commence on April 16, 2012. The Company and Executive agree that unless Executive has commenced employment with the Company as of April 16, 2012 (or such later date as agreed by each of the Company and Executive) this Agreement shall be null and void and of no further effect.","TestCo Software, Inc.","TestCo Software, Inc."
"THIS EXECUTIVE EMPLOYMENT AGREEMENT (this “Agreement”) is entered into this 2nd day of April, 2012, by and between Aphrodite Apollo (“Executive”) and TestCo Software, Inc. (the “Company” or “Employer”), and shall become effective upon Executive’s commencement of employment (the “Effective Date”) which is expected to commence on April 16, 2012. The Company and Executive agree that unless Executive has commenced employment with the Company as of April 16, 2012 (or such later date as agreed by each of the Company and Executive) this Agreement shall be null and void and of no further effect.","Aphrodite Apollo ('Executive') and TestCo Software, Inc. ('Company')","Aphrodite Apollo (“Executive”) and TestCo Software, Inc. (the “Company” or “Employer”)"
"THIS EXECUTIVE EMPLOYMENT AGREEMENT (this “Agreement”) is entered into this 2nd day of April, 2012, by and between Aphrodite Apollo (“Executive”) and TestCo Software, Inc. (the “Company” or “Employer”), and shall become effective upon Executive’s commencement of employment (the “Effective Date”) which is expected to commence on April 16, 2012. The Company and Executive agree that unless Executive has commenced employment with the Company as of April 16, 2012 (or such later date as agreed by each of the Company and Executive) this Agreement shall be null and void and of no further effect.","April 16, 2012.","April 16, 2012"
