brand,primaryCategories,reviews.numHelpful,reviews.rating,reviews.text
2,Health & Beauty,,0,"I had high hopes for these and very surprised at alt he high rating. I must have received a bad batch. This is a large qty and 6-8 months after purchase, using these batteries and they are no good. I figured they just wore out since i did not use them. Very disappointed and a good 20+ are trash. Real bummer."
0,Electronics,0.0,1,"My 5 year old dropped this from a standing position (about a foot off the ground) and it busted. I had to use the BB warranty to replace it the day after purchase for a fall that the tablet should've been able to handle that is designed for kids. I'm happy with the apps, but definitely not thrilled with the lack of protection that is designed for kids."
2,Health & Beauty,,3,"With alot of kids and toys in the house we have been running through hundreds of batteries. Yes hundreds, no typo. I have found these batteries to have the perfect balance of cost vs longevity. They dont last the longest but theyre priced just right to make it worth it. I would recommend to anyone that needs batteries in bulk."
0,Electronics,0.0,3,"This is my first Fire Kindle. I love it. It is fast, and has good internet. It gives me quick access to all my Kindle library. I found out it's easier to scroll through the pages than when using Kindle Touch."
0,Electronics,0.0,1,I think the charging port should be something more simple since this product is aimed at smaller children. We’ve only had ours for a month and the port is broke. Getting a new one sent to us.
0,"Toys & Games,Electronics",0.0,2,"Good features for kids, but definitely not enough storage. You'll need to get an SD card and set things to download to that or it will freeze and stop working."
0,Electronics,0.0,3,"Great for reading in the sunlight. As well as light, and easy on the wrist. Great product, but a little speedy."
2,Health & Beauty,,4,Worked just fine for the price!
2,Health & Beauty,,4,Great quality
2,Health & Beauty,,4,good
2,Health & Beauty,,4,can never have too many batteries on hand
2,Health & Beauty,,3,Just what I needed.
0,"Toys & Games,Electronics",0.0,3,I have no issues with product. Daughter seems to love it
0,Electronics,0.0,3,Used it for watching television shows. The picture was clear and the audio was decent for the location of the speakers.
0,Electronics,0.0,3,My kids enjoy reading books and playing games on the fire tablet.
2,Health & Beauty,,4,excellent
0,Electronics,0.0,3,Am happy with my purchase and the item is being used by my brother's son and he is also happy as on dat
2,Health & Beauty,,4,"Throw away all my generic batteries and replaced with these. 48-Pack came in a nice carton box with 4-pcs. battery in each plastic wrap. Used in remote controllers, game controllers, mouse, automatic spray air fresheners, LED flashlights and camping lanterns, clocks, wall lamps, and other devices. Excellent batteries for the price."
0,Electronics,0.0,0,"The Amazon Fire HD 8 tablet no longer was able to charge less than six months after being received as a Christmas present. I contaced Amazon, assuming that the was a one year warranty. Amazon tech support navigated me through a number of trouble shooting steps and concluded that the Usb port is defective. I was then told that this product only has a 90 day warranty and the best they could do in give me a 10% on my next Amazon purchase! Wow!"
2,Health & Beauty,,3,"they work well so far, cheaper than other batteries i have seen. hoping there wont be any leakage or anything."
0,Electronics,0.0,3,I like that the tablet has child settings and time usage. Very helpful in setting time limits.
0,Electronics,0.0,3,This is an amazing product for reading books and watching movies.
0,Electronics,0.0,3,"i have been looking at tablets for a long time, most of them a little expensive for what i would use it for. This tablet lets me read, email, searches and the best part I can buy books through amazon and not have to carry heavy books with me when i travel"
2,Health & Beauty,,3,Good buy don't know how well they will last have to wait and see.
0,Electronics,0.0,3,Easy to use reading device. Looking forward to watching movies on it. Great value
0,Electronics,0.0,3,It works nice. Still seems like ancient techonology compared to any apple product
0,Electronics,0.0,3,"Nice sound for the money, good highs not much lows"
0,Electronics,0.0,3,"This is my second Kindle and I am really enjoying it. I purchased mainly to use as a reader but it has exceeded my expectations. I can check my emails, surf the web, down loaded fb and pintrest as well. I have linked to my local library and can borrow books with ease. I have also downloaded Netflix as well. I love that I can change it to night reading so there is not so much of a strain on my eyes. I have not charged it for 2days now and have done quite a bit of reading and still showing 53%after 2 days. I purchased the 16g but plan on purchasing a micro SD card so I can expand the memory to download audio books as well."
2,Health & Beauty,,4,Decent batteries
2,Health & Beauty,,0,"I put two of these batteries in my wireless mouse and in less than two hours use, they had burned up. The mouse quit working and I went to check the batteries and they literally burned my fingers trying to get them out. I will throw the rest of them away and NEVER buy these again.I know I'll never get my money back. I'll just write it off as a lesson learned."
2,Health & Beauty,,3,Good batteries for the price
0,Electronics,1.0,3,"Not sure if this is due to the new version but I'm not able to install or even sideload certain apps onto the tablet. Amazon is really trying to lock out non-Amazon apps namely ones from Google. Aside from that though, performance is already and what you'd expect from a tablet in this price range. This was purchased for my mom and it does what's needed and my mom has no complaints thus far."
0,Electronics,0.0,3,she loves it she is 6yrs old and it fits her level well and she just loves it
2,Health & Beauty,,4,"These seem as good as top-tier brands and models.Using these on professional audio equipment... the equipment ran the same amount of time.I think the only difference, is they are vastly less expensive."
0,Electronics,0.0,3,Bought for my son and he enjoys playing in it. He's able to download all the apps he wanted and the camera is awesome.
2,Health & Beauty,,1,Not fresh. Run down fast.
2,Health & Beauty,,4,Great
0,Electronics,12.0,3,"As abv, takes 3 + hours to fully charge. I hoped it would be much faster (maybe an hour), to the point that I had thought I got a lemon. People were kind enough to answer my question, and learned that I should not expect miracles, lol. Apart from that, good thing it comes with the cord, and is compact enough."
2,Health & Beauty,,4,Simply great
0,Electronics,0.0,3,I got it at a great price. They price matched for me. Much faster then getting my laptop out to check email
2,Health & Beauty,,3,"These are good little batteries for the price. They come wrapped four to a shrink wrap pack, the rest of the box seems sturdy. I tested a few out of the box and they all show 1.5 volts as they should!"
0,"Toys & Games,Electronics",0.0,3,Great tablet for destructive toddlers. My son has dropped and thrown it several times and it still works!...
0,Electronics,28.0,3,"My son loves it. It does have some flaws though. When he closes an app and then tries to open it again sometimes it has to download all over again. Also, even though apps are supposed to work without wifi, apps will load up fine and then we receive an error message saying we have to download the app again although the app is running perfectly in the background without wifi. Eventually all apps will disappear from the screen until we get back to wifi and restart the tablet."
2,Health & Beauty,,2,"Meh, they work, wud gladly pay more for USA made tho!"
2,Health & Beauty,,4,great stuff
2,Health & Beauty,,4,good
2,Health & Beauty,,4,thank you
2,Health & Beauty,,4,AA batteries worked perfectly out of the box!
0,Electronics,0.0,3,I have two kids and they both love it. Its also nice because it is already setup for them.
0,Electronics,0.0,3,I like it because is very resistant . The only thing we didn't like is that sometimes it's kinda slow
0,"Toys & Games,Electronics",0.0,1,"Got this for my 8yo daughter. A lot of the times it doesn't work, I have to restart it a lot, and it only has 3 apps that I added on it. It came with way too many pre-loaded apps, and the most annoying thing is that the kids profile is permanently horizontal. Not really worth the money for me, but at least she's playing her Inside Out bubble game on her own tablet instead of my IPad."
0,Electronics,0.0,3,Bought this for my 8 year old in place of a Nabi that didn't work out of the package. Great basic tablet for this.
2,Health & Beauty,,3,"Is it just me, or is it a huge challenge keeping enough batteries on hand. It's easy just to order a bulk box of these rather than take a beating at retail price. I'm not sure they are up to Energizer or Duracell standards, but they do the job ok. No complaints so far."
0,Electronics,0.0,2,"This tablet overall is okay,there are few problems that i face with this tablet. Charging this tablet takes little longer than the average tabletSome of the application is not available through amazon store app"
0,Electronics,0.0,3,Good customer service during my quest to get a good deal and quality gadget.
2,Health & Beauty,,4,Exactly what I needed at a great price.
2,Health & Beauty,,0,Awful poor performance. My mouse ran for several weeks to several months from Duracells but have never gotten more that several days from these. Will not buy again.
2,Health & Beauty,,0,"Last less than a quarter as long as even off-brand batteries such as Rayovac, creating a lot more waste. With name brand batteries my wireless keyboard would last almost a year these amazon branded batteries last only 2-3 months. If they weren't considered hazardous waste when spent I might have given them 2 stars on account of there low price, but when you consider how hard it is to dispose of batteries properly (and how much time you'll spend changing them out of your favorite devices) they're really not worth your time"
0,Electronics,0.0,2,The tablet is for my son who is 2. That being said I noticed blotches on the screen. Never returned it due to it not making a difference to my son. I will have to upgrade him in question few years anyway. The bumper is amazing.
2,Health & Beauty,,3,I'm sure they will meet my needs. Thanks.
2,Health & Beauty,,1,Nice cheap battery. Will not last as long as a regular brand battery. You can even feel the difference
2,Health & Beauty,,4,"These work as well as any big name brand batteries. I'm a heavy pc user since I work from home and I use a wireless mouse with my laptop. I can get weeks of use out of these without an issue. And even when the low battery light starts flashing on the mouse, I still get 2-3 days use out of them. Save your money, and buy these instead."
2,Health & Beauty,,4,Great price. Good Quality. No complaints.
0,"Electronics,Media",0.0,3,"This kindle is awesome. I love the design of it. Nothing software wise that was different than my other kindle but the way it's designed makes it much more comfortable and easier to read. The only reason I didn't give it five stars was because of the price. If it were cheaper, this kindle would have been five stars no doubt."
0,Electronics,0.0,3,My daughter like the tablet and she use the tabet everday
2,Health & Beauty,,4,"Good Batteries, but not as long lasting as the Duracell batteries."
2,Health & Beauty,,3,good value.
0,Electronics,0.0,3,I like this Kindle the only this is it does not read the books as good as my older Amazon Kindle Fire.
2,Health & Beauty,,1,"Tried them in my amazon firestick remote and they failed to make the remote work. However, no batteries have made it work. Seems the Amazon firestick remote is the problem. In any event I am stuck with 8 batteries that I do not need."
0,Electronics,0.0,3,Good kids tablet for games and videos but the charger is pretty annoying.
2,Health & Beauty,,2,These didn't last very long.
2,Health & Beauty,,4,These are batteries at a great price!
2,Health & Beauty,,4,Great value.
2,Health & Beauty,,4,no problems
0,Electronics,0.0,2,It's ok but I rather have bought Samsung Galaxy Tab
0,Electronics,0.0,3,We have an iPad but bought this for the kids unlimited prime content. We have enjoyed it and it has a lot that the iPad doesn't. The menu could be more friendly but I like the parental limits it has.
0,Electronics,0.0,3,Great tablet use it for reading and email. Great price!
0,"Toys & Games,Electronics",0.0,3,"this was a christmas present, for the nephew works good, he loves it"
0,Electronics,0.0,2,Bought this tablet for 8 year old. It holding up good & she loves it. She enjoys playimg her games & being able to get on the internet.
0,Electronics,0.0,2,"When my husband and I bought our Kindle Fire 8, we went to Best Buy and asked questions as best we could. There are programs we apparently need to put create and edit documents and spreadsheets!! We did ask if it had those features and was told yes but I think we need to have a special app. Why isn't there a manual or step by step guide on getting the most use out of Kindle Fire 8. Can I get it online? Kindle Fire 8 fun to use but needs more info for customers. Can we go to a class at Best Buy? Thanks for any help."
0,Electronics,1.0,3,"If you want one of the most advanced alarm clocks on the market then this is your device!It works well. Calendar functions, plays radio, most podcasts, can order Domino's. But you have to be aware that most features require to some degree Amazon Prime membership. For example Spotify will not work unless it is a premium account."
2,Health & Beauty,,4,FOR THE PRICE....THEY ARE OK
2,Health & Beauty,,3,"This is a great deal on bulk batteries, they seem to last a reasonable amount of time. They do not seem to last as long as the big name brands (this is based on how long between battery changes for my xbox one controller) .but for the savings it's well worth it."
2,Health & Beauty,,0,these batteries are terrible very disappointed. i have purchased before great long lasting very powerful. i must have received a bad batch they don't last very long. i may not purchase again.
0,Electronics,1.0,3,This edition of the kindle fire is a great improvement over the last model I had. The battery life is much better and it charges faster. The only drawback I have experienced is that the operation is sometimes slow. But I attribute that to having a 200GB expansion chip.
0,"Toys & Games,Electronics",0.0,3,Bought one before for my son and now he's brother turned 2 years and I decided to get one for him. He enjoys his tablet and battery life is good and I installed the educational app he wanted.
2,Health & Beauty,,0,These batteries started leaking right out of the box.I threw them in the trash and went back to Duracell.
2,Health & Beauty,,4,works for the office
2,Health & Beauty,,3,Great batteries for the price.
2,Health & Beauty,,4,They work
2,Health & Beauty,,0,I updated my credit car d more than six weeks ago. I won't bother you in the future.
2,Health & Beauty,,0,don't last long. Replace batteries in my clock almost every 2 months.
2,Health & Beauty,,3,"They are batteries, so can't say I love them! But I've had good results with Amazon's AA's so trying these now."
2,Health & Beauty,,3,You can't beat these batteries when it comes to price. My son has seemingly a million toys that require batteries and it's always handy to have some around when he leaves them on (thomas the train motorized engines). Buying these from Amazon saves me a lot of money vice buying them from a major retailer. Thanks Amazon!Pro: cheap and reliable
2,Health & Beauty,,4,Good deal.
2,Health & Beauty,,3,So far so good.
2,Health & Beauty,,0,"These are by far the WORST batteries I have ever purchased. I have previously purchased bulk batteries from other vendors. When I ran out of the previous batteries I thought would order more. When I saw that these were branded by Amazon I thought I could not lose...WRONG! As an example, when I put these batteries in a thermostat they are dead within a few days. I normally put batteries in this thermostat once a year...not every few days. 2nd Example: I put the batteries in a bluetooth mouse (normally batteries last a few months) and they are dead within a week.I don't know if I have a bad batch or what but they are TERRIBLE. Take this into account before you order."
2,Health & Beauty,,4,"So far so good, I'll try and let folks know if they don't last as long as branded batteries."
0,Electronics,0.0,3,"I didn't need a super expensive tablet, I just needed a basic one for couple different apps I needed. This one works perfect. Need a basic tablet for Netflix or Hulu or Amazon this works great. But don't expect it to be Ipad."
2,Health & Beauty,,3,great buy
0,Electronics,0.0,1,Very difficult to connect to You Tube. Very frustrating
0,Electronics,2.0,3,The table is great just to experience what is available on a tablet without a hugh expense. I would recommend to others.
0,Electronics,0.0,3,"I'm new to tablets but this one is pretty easy to understand and use.There's a decent amounts of apps at start up, which can be good and bad."
0,Electronics,0.0,3,Like that downloading books is fast. I am still learning features and have not explored other positives featured.
0,"Toys & Games,Electronics",0.0,0,This product wouldn't turn on nor charge and then store couldn't locate another one for me.
2,Health & Beauty,,4,"3rd purchase of these AA from Amazon, all have expiration of 2027. Ones I've used thus far last as Long as name brands"
2,Health & Beauty,,3,hope they last long
0,Electronics,0.0,3,Great 1st tablet for my little nephew downloaded great games and after he dropped it twice still works and looks amazing lol
0,Electronics,0.0,3,We've had three of these Kindles. They are well built and you can't get the quality in a tablet from any other manufacturer. Amazon has great support with them.
0,Electronics,0.0,3,Needed a new Kindle. Wasn't sure what one to choose. This one is GREAT!
2,Health & Beauty,,4,great
2,Health & Beauty,,4,Product as advertised. Arrived on time and in good condition. Good value! Will buy again.
2,Health & Beauty,,4,Just batteries what can I say.
2,Health & Beauty,,3,Batteries work perfectly. Only problem is the packaging is a little large. You will need to put them in a smaller container unless u have a ton of cupboard space.
2,Health & Beauty,,0,Don't waste your money. They last about 2 days in a wii remote.
0,Electronics,0.0,3,"Bought for my 4 yr old as a Christmas present. I turned it on, and set it up. Pretty sure she will love it!"
2,Health & Beauty,,4,Good
0,Electronics,0.0,3,This is the second one I have Purchased. I purchased the 16 MB version for less than 50.00. As long as you understand it is an Amazon product it a darn good Tablet for the money
2,Health & Beauty,,4,"WORKS AS WELL AS NAME BRAND BATTERIES, BUT COST A LOT LESS."
0,Electronics,0.0,2,I didn't do any in depth research on this particular tablet. The price and speed were good for what I wanted it for. My only con is not being able to clear the home screen of apps or relocate them so I can see my personal home screen picture.
0,Electronics,0.0,2,Need to have some computer savvy. Wound be much more helpful if it came with a simple basic instructions.
0,Electronics,0.0,3,"Was super easy to connect via Bluetooth - great sound, fun to use."
0,Electronics,0.0,0,"I bought this to replace a 3-year old Kindle Fire 7"" HDX that I had just dropped on the floor. I sort of panicked, so after doing a couple of hours of research I picked this tablet. Just to be on the safe side I got 16 additional GB of memory. I installed a couple of games (none of them memory hogs) and a cookbook app, in addition to downloading a couple of books and dictionaries. I can honestly say this is the slowest tablet I've ever had. Just rotating the screen takes 7-10 seconds, and that's if there's only one app open. Opening a book or magazine can take half a minute, and God help you if you want to switch between a recipe and a magazine while you're cooking! Amazon is obviously more concerned about showing you constant special offers and apps than having satisfied customers. Since there are no other Fire tablets available for whatever reason (maybe they're being discontinued?) I'll be replacing it with either an iPad or a Galaxy tablet."
0,"Toys & Games,Electronics",0.0,3,Works great keeps a pretty good charge. My sign up for prime to get more bang for my buck but over all solid tablet
0,Electronics,0.0,3,Great tablet other than the photo image quality is fuzzy and not the best.
2,Health & Beauty,,2,"They're the same size as the batteries they replaced. Who knows if they last longer, have more power than others until they go dead Who remembers to come back and post that these batteries worked for one day more or less than the last set you had They're batteries, and they looked like they were cheap to me. If they melt a remote control or something, I'll try to remember to come back and letchall know."
2,Health & Beauty,,4,Super!
2,Health & Beauty,,3,Batteries give you power!
2,Health & Beauty,,4,Came in quickly and just what I needed.
2,Health & Beauty,,4,Better than expected. Good quality and good price. Fast shipping.
0,Electronics,0.0,3,Overall a nice product for traveling purposes Value for money
2,Health & Beauty,,4,great product just as described
0,Electronics,0.0,3,The screen is clear and tablet is faster than i expected. Great colors also!
2,Health & Beauty,,3,Great batteries! I have nothing negative I can say about this product. They work just as well as any name brand product you would buy off the shelf at any store except these are probably one quarter of the price.
2,Health & Beauty,,2,"They are ok - I haven't had any arrive DOA, but they really don't seem to work for very long. In an Xbox One controller, they last about half the time that a set of duracells would. I don't think they're terrible, but I doubt I'll buy them again. You can frequently catch Duracells on Newegg at about 30 per 100. Yes, it's a bit more than the amazon basics per battery, but you'll get a lot more usage out of each pair."
2,Health & Beauty,,2,Loved the price but I found myself replacing them more quickly in items like the wall clocks and the remote controls. I like having a box of replacement batteries on hand in the house so these are fine for emergencies but I might want to invest in a brand that lasts a bit longer for things like smoke detectors or flashlights.
2,Health & Beauty,,4,Good quality
2,Health & Beauty,,4,Good cheap batteries
0,"Electronics,Media",1.0,3,The Oasis has a very sleek design that is very comfortable in hand. The flat transition from screen to bezel is very attractive. Backlight is great and its nice to be able to have it adjust automatically or manually. Menus are easy to access an understand. Wifi works great. The print looks very nice and easy easy on the eyes. Only reason I don't give it 5 stars is due to the relatively high price.
0,Electronics,0.0,3,"Works good, has very nice screen brightness and resolution"
2,Health & Beauty,,2,ok for the price
2,Health & Beauty,,4,as expected
2,Health & Beauty,,2,Do not last as long as costco/kirkland equivalents.
2,Health & Beauty,,4,"They are fine as far as I can tell. (These are probably a private label version of a major brand.) I am counting on the Amazon brand in assuming they are identical to batteries from other brands. Good price, of course. The 5 stars really reflect my trust of Amazon."
2,Health & Beauty,,3,the batteries were fine.
2,Health & Beauty,,0,Inconsistent. VERY short life.
2,Health & Beauty,,4,good value for price
2,Health & Beauty,,3,They're batteries. Significantly more cost effective than Duracel Energizer. Rated 4* because I can't yet say how they last compared to the two big brands but so far they're performing well.
2,Health & Beauty,,3,Batteries seem to last a good amount of time and I received all of them in this pack unlike the AAA pack I bought from Amazon which was missing four batteries.
0,Electronics,0.0,3,"It is a tablet. Downloads kids apps fast. Only complaint is when I shut it down the kid's user screen goes away. I do pull it back up but both my child and I get annoyed. Some regular apps I have not been able to remove from the regular screen. However, I would recommend."
2,Health & Beauty,,4,What a massive batch of batteries! This beats prices even the big box stores have.
2,Health & Beauty,,4,These batteries are a great value.
0,Electronics,0.0,3,Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!
0,Electronics,2.0,0,"I bought 2 of the Amazon Fire tablets because the sales guy said that they were great and ran really fast. I have very fast internet and this thing just barely chugs along. If you play a game, it constantly stalls and freezes. The sound quality when I play music is terrible. I was planning on buying one for each of my 9 nieces and nephews if they ran well but now I know that wouldn't work for them because they are horrible."
0,Electronics,0.0,3,"What I expected. A better then budget tablet ata good price. Bought for the integration with Alexa and it works well, more info about your Alexa request will show up automatically on the tablet."
2,Health & Beauty,,3,They are batteries and as such work just as expected.
2,Health & Beauty,,4,Excellent batteries.
0,Electronics,0.0,2,When it works it's great but for some reason it doesn't always answer me When it doesn't answer me I turn off the tv and make sure no one else is talking and it still doesn't work at that time. It was easy to set up with the phone app. Doesn't seem to matter where the phone is when it isn't working. I've tried close and far and in between. So a case of great when it works and the pits when it doesn't
0,"Toys & Games,Electronics",0.0,3,Very good product that I purchased for my godson. The only issue is the charger / charging port is having some difficulties. Will be bringing back to the store to have it looked at. My just be my 2 year old godson being a kid with it :) He loves it otherwise.
2,Health & Beauty,,3,Shipped fast and so far lasting like other major brand batteries.
2,Health & Beauty,,3,Good as any other alkaline cell. Price is good
2,Health & Beauty,,4,A lot of batteries for a good price! Came on time!
0,Electronics,0.0,3,"Got this for my mom, so she could check facebook without getting on her computer. So far, no problems, even tho she's not tech savvy."
2,Electronics,,3,"Every other laptop cooler I have purchased has a USB plug to run a fan. Got tired of the fans making noise, the USB or cooler plug not working eventually etc.So gave this one a shot and it does what it says plus. Keeps my 15.6 Mac book pro cool and my legs are not heating up any more when sitting on the couch. Also the bottom does not feel nearly as hot as it used to. So why only 4 stars. The two tabs to keep your laptop from sliding off are not adjustable so when you are typing your arms want to rest on those tabs. Really uncomfortable. So in the pictures you can see a slight modification I made to alleviate this problem. I now rest the laptop on the pads so when typing my arms are resting on the key board portion as if the tabs were not there. Much more comfortable. I used strips of thick felt with sticky bottoms. Certainly not a technical fix but does the job. All they had to do was include a metal piece retrofit on the bottom portion that would allow you to raise your computer to a level so the tabs would not interfere. Simple but maybe on the next model. Check out the two photos."
0,Electronics,0.0,3,Purchased as a a present. Girlfriend loves it. Would suggest buying for yourself or a loved one
2,Health & Beauty,,4,"1,63 volts"
0,Electronics,0.0,3,"I would buy it again and have twice over already. I actually bought the kids fire kindle and bought this for my wife, her's was lost and she borrowed my sons kid fire kindle I ended up buying her this again, and would buy it again. I would recommend buying a sd card it fills up fast without out it but it is a lot cheaper to buy the lower GB kindle and then buy a good sd card."
2,Health & Beauty,,2,decent batteries. ok life.
0,Electronics,0.0,3,This is a nice and inexpensive tablet. Great for reading on or looking up info on the Internet. Only downfall is you can't download some online games onto it.
2,Health & Beauty,,4,Excellent value. Last as long as brand name batteries at a fraction of brand price.
2,Health & Beauty,,4,They just work as any other batteries
0,Electronics,0.0,2,Needs to be more simpler. parental contorl still need to be better
2,Health & Beauty,,1,These batteries won't last long. An led flashlight will drain them in a hurry. I usually like Amazon products but this is one to avoid.
0,Electronics,0.0,3,"Hard to use, No way to delete things from screen. Need better manual. most books are impossible if they are reference books."
2,Health & Beauty,,2,I feel like they don't work as long.
0,Electronics,0.0,0,Its very cool great picture good sound. Was kind of disappointed that i couldnt make calls but overall great piece of hardwark
2,Health & Beauty,,4,"as advertised, we used them for care packages we pass out to the homeless."
2,Health & Beauty,,4,Excellent products.
2,Health & Beauty,,4,"Had good luck with these, especially for price."
2,Health & Beauty,,4,good price and quality
2,Health & Beauty,,0,"mu AA Amazon batteries made in Indonesia were without power after 12 months, bought in May 2016"
2,Health & Beauty,,4,wonderful battery multi pack
0,Electronics,0.0,3,"Was wanting a bigger screen, which it is, trying to get use to different applications, so far seems easy."
0,Electronics,0.0,3,"Tablet is great, battery satisfactory. Case works great, within 10 minutes of opening the tablet, my grandson dropped it. No damage!!Easy to use. Highly recommend."
0,Electronics,0.0,3,Wall charger is convenient. Just wish it was sold with the kindle instead of having to purchase it separate. Seems like it should be standard in the package. Had to purchase in a bundle in order to get it included with kindle.
0,Electronics,0.0,3,My wife like to play games and the 16g is much better and faster fo this.
2,Health & Beauty,,4,"long lasting and powerful. also, best pricing."
2,Health & Beauty,,4,"I like to have a good stock of batteries in my home. I am a repeat purchaser of these and other sizes. So far no performance issues. Lasts like Duracell. They might consider improving the graphics though, not very exciting to look at."
2,Health & Beauty,,0,Might as well be dead on arrival. Already burned through two sets of 4 of these since I ordered them less than two months ago on a Schlage keypad deadbolt lock. The previous batteries lasted over a year. I'll never order another Amazon basics battery.
2,Health & Beauty,,4,A good grade of battery. Enough that Christmas was OK. Thumbs up!
2,Health & Beauty,,4,No reason to buy more expensive batteries.
0,Electronics,0.0,3,Great tablet other than the photo image quality is fuzzy and not the best.
2,Health & Beauty,,1,Many batteries do not have full capacity. I read each with a meter before using. Often find one at .8 volt or below. I won't buy again.
2,Electronics,,2,"This bag does not fit my 17-inch laptop, although mine is a little bigger than many. You would need a relatively thin 17-inch laptop to make this work. Also, as some other reviewers described, it has a cheap-feeling inner lining. I also do not like that the zippers for the main pocket do not extend toward the base farther, so this does not open as wide as I would like. It will get the job done and serves as a replacement for my previous backpack, which was falling apart, but I do not think I would really recommend it to anyone."
0,Electronics,0.0,2,It is just an average tablet. Bit slow but is a good option for people on budget
0,Electronics,0.0,3,"I love the product. I'm very happy but I would like even more if the page number was displayed when reading books on this tablet, in case I wanted to refer back to a certain page."
2,Health & Beauty,,3,AA! Would buy again!
2,Health & Beauty,,2,"They didn't last very long in my cheap camera. With them not being lithium I didn't expect them to last forever, but I should of gotten more then a days use out of them. In my Xbox controller they lasted an adequate amount of time. So all in all these definitely aren't for heavy use and the price point reflects that."
2,Health & Beauty,,3,"I have yet to be disappointed by an Amazon Basics product, to me a battery is a battery it's the cost I look at. These were the lowest cost per battery on the site."
0,Electronics,0.0,2,"Easy to use but more limited than a more powerful tablet such as a Galaxy or iPad. Video conferencing is rather difficult to do in my experience. However if you read digital books, watch videos, or listen to music it works well and the stereo sound with the larger versions is really nice."
0,Electronics,0.0,3,My girls love the tablet. It has lots of apps they can download. The only problem the battery is used up even when not in use.
0,Electronics,0.0,3,"I am the purchaser, not the user, but have owned a Kindle myself. These products are very reliable & easy to use."
