example,label
"Buyer: hello, is your bike still for sale? Seller: yes it sure is. Were you interested? Buyer: yes i am, it looks great! i was hoping maybe we could negotiate the price a little though. Seller: thanks, well let you give you a little information about it. It's a Univega Veva Sport 10 speed bicycle, made in Japan Buyer: i think it's cool that it's from japan, how long have you had the bike though? i was hoping i could pick it up from you for 180 or 190. Seller: I know, me too. I've had it for a few years, mechanical wise it's great but it does have scratches, nicks and scuffs which is why I would be willing to go lower Buyer: oh okay, well i understand that then, i dont mind nicks and scruffs but i wouldn't want to pay more than 190 if that works for you. Seller: yes that works for me Buyer: great, thanks. Buyer:  Seller: ",bike
"Buyer: This would be perfect for the wet bar in my den. Seller: That's cool. So you are interested in buying it? Buyer: Yes and I could pick it up tomorrow; however this price is a little off of what I was looking for. How does 15 sound? Seller: 30 is fair, other ones are going for about $50. I can go down a little how about 25? Buyer: I get where you are coming from, but I'm an hour outside San Leandro; like you said, ""gas money helps."" Seller: Ok how about somewhere in the middle. 20 since you're picking it up. Buyer: Fair enough, sold Buyer:  Seller: ",furniture
"Buyer: Hi! Seller: hello I am a selling a LG viper phone activated by sprint for really cheap! Buyer: I don't know a lot about this. Can it be activated without a simm card? Seller: It can be activated fully without a sim card.  Buyer: OK, I'll take your word for it, but I must admit I am skeptical, so I'll pay $35 cash. Seller: This is in such good condition and is a touch screen phone, 35 would be a little too low for me Buyer: OK, how about 38? Seller: would you be wiling to pay 40 and I will throw in some extra screen protectors with the phone Buyer: Yes, sounds good! Buyer:  Seller: ",phone
"Seller: Hey there, I see you're interested in my 1998 Jaguar XJR Sedan!  Buyer: I am, a little pricey though.  consider closer to 2k Seller: I can go a bit lower, but probably not all the way down to 2k. It has a lot of good perks still even though its an old car.  Buyer: 2500 sound fair?  ",car
"Buyer: Hey! I seen you have these 2 amazing lamps for sale are they still available? Seller: Yes, they are!  Buyer: Do they have any scratches on it? Seller: They have a few minor scratches because they are vintage Mid Century. They are in great shape for their age! Buyer: smoke free pet free home? Seller: Yes, absolutely. Buyer: I need them in my life! I have $36 cash and can pick them up within the next hour Seller: They are quite spectacular! Would you give $38 if I deliver them to you? Buyer: Let me see if i can find the extra $2  Seller: Okay. Let me know. Buyer: I only found $1 So I can give you $37 Seller: Okay, it's a deal. Seller:  Buyer: awesome thank you! Buyer: ",furniture
"Buyer: I am very interested in the bike you have for sale. Could you give me some information about it? Seller: Hi there, I sure can. I ride semi-professional and I was recently sponsored, so they have me riding their brand now, I'm selling this one. I've taken great care of it, loads of upgrades from the stock model. Only weighs about 8 pounds. Buyer: That sounds very nice. I am very interested, except I am a bit strapped for cash right now. I would like to offer you $1900 for it. That is cash in hand and I will pick it up today. Seller: I could maybe do that if you have anything you could throw in. Do you have any bike parts maybe? I just popped a wheel actually Buyer: I have a wide assortment of various tires and wheels. Why don't you run the bike by, and you can pick out a couple tires or wheels to go in with the offer. Seller: Sounds perfect, I'll run the bike out to you tonight and we'll do the deal for 1900, sound good? Buyer: Sounds great. Buyer:  Seller: ",bike
"Seller: Hello I am offering my headphones for the very low price of $175.  Buyer: Actually, for used headphones that's pretty high. I was thinking more like 100. Seller: It really is not that high because they cancel out noise. and I paid $400 for it when I bought it. I can negotiate a deal with you. Give me $135 for them",electronics
"Seller: Hello, I am very interested in the tables. Are there any chips on the tops? Buyer: I'm the potential buyer you are the seller Seller: Oops. Sorry! Buyer: ",furniture
"Seller: Hi there, Interested in the hutch Buyer: How's it going, I'd love to buy this for 700 if possible, not too much lower I'd think. Seller: Lowest I could go would be $850 and I will deliver it to your door. Buyer: Ok that seems far to me, how's the condition on it? Seller: Like new! Gorgeous cherry  and the glass looks good.  Seller:  Buyer: ",furniture
"Buyer: Hi! I would love to buy your island cart! Seller: Hi, I think you will like my handmade kitchen island cart.  Buyer: Are you willing to negotiate a bit?$200 is a bit too much for me Seller: Sure, I have a little bit of room. What is your offer? Buyer: $165? Seller: Could you go $180? Buyer: That's not a bad offer. I can accept $180 Seller: Great! You have yourself a beautiful handmade kitchen island cart! Buyer:  Seller: ",furniture
"Buyer: Hi tell me about the battery Seller: It is for a Motorola model BK10. Each battery will come with an extended battery cover Buyer: Are those the batteries that explode? Seller: Explosions are not likely, especially when inserted into a device or using the battery cover Buyer: Ok, can you go down to 9? Seller: Yes Buyer: Ok deal! Buyer:  Seller: ",phone
"Buyer: I was wondering if the binoculars were still available? Seller: What can you SEE paying for these great binocs? Buyer: Would these be ok for looking at my neighbors? I think those kids are up to no good. Seller: Yes and you can even hook up to wifi and works in night too Buyer: This sounds perfect. I would like to offer $250. I'd love to offer more, but those kids stole my money.  Seller: could you do $380? Buyer: Not really, I could probably come up to 275? Seller: how about $300 and we have a deal? You can take a pic of those snot nosed brats and nail them! Buyer: I'll pay $300 if you can show me how to use them. Seller: great!   Seller:  Buyer: ",electronics
"Buyer: Hi! I see you are interested in buying my Toyota Solara. Do you have any particular questions? Seller: Yes. How much would you like for it? Buyer: I'm asking $3500, but would be willing to come off of that price some. Seller: How about we make it 3000 dollars and I will pick it up tonight? Buyer: That will work! Seller: Thank you very much. Good doing business with you. Buyer:  Seller: ",furniture
"Seller: Hi. I want $150 for my like new Ikea queen bed. You pick it up from me. Buyer: How about 105 and Ill pick it up and dismantle it Seller: It's already dismantled, so 120 Buyer: ok deal Buyer:  Seller:  Seller: ",furniture
"Buyer: howdy, I willing to pay $800 for the room Seller: Comparable listings in the area are much higher. I need $2,000 Buyer: that's higher than you list price. you are going to need to come in lower if you want me to rent. don't be unreasonable. Seller: In lieu of the lack of credit check, I need to ensure that you have a reasonable proof of income. I will lower the price to $1,800 Buyer: if I give you a cashiers check and proof of income from a bank statement, will you let me have it for $1300? Seller: Yes. We have a deal. Seller:  Buyer: ",housing
"Seller: She's a beauty huh??? Buyer: Hi, I'm ver interested in the car. is it in good shape? Seller: Great shape! All maintenance has been done, all paperwork is included, bluetooth and ipad adapter included. She's a beaut! Buyer: What's the mileage on it? Seller: That's the best part. Only 60,000 Buyer: It sounds good.... But I just can't afford that price. I'm a student and I simply don't have $10,000. Would you accept.... $4000? Seller: Yowsers! that is quite low. I definitely remember the old college days though so happy to make a deal. what about $7,000? Buyer: How about $5000? I can come get the car tomorrow. Sign all the papers. I can even pay cash. Seller: Man. Cash is nice. But $5000 is a bit low. I can do $6250.00 but that is the best I can do. That's almost 50% off which is a bit crazy really........ Seller:  Buyer: ",car
Seller: Hi are you interested in these head phones?  Buyer: Yes I am. I would like to offer you $22 cash right now can come pick them up today. Seller: Yeah wow that would be perfect! I won't be home for another 45 minutes would that work for you?  Buyer: Yes I can wait and be there at the same time you get there! Buyer:  Seller: Okay great! I will see you then for 22!  Seller: ,phone
"Buyer: Hello.  Are you Steve? Seller: Yes I am.. Are you interested in the car? Buyer: Nice to meet you, Steve.  I'm Bill.  I'm very interested in your car.  It's a good looking vehicle.  How many miles does it have on it? Seller: It is about 110000 miles but still runs good and very well taken care of Buyer: Ah, that's excellent.  Almost a classic.  Would you be willing to take $1500 for it? Seller: I don't think it is possible. I love this car but really need money right now so I'll give it to you for $3000 Buyer: Oh, I'm sorry to hear that.  I'll tell you what-- I could swing $2000, but I don't think I can afford any more than that.  Seller: Alright but you need to pay cash.. Buyer: I can do that.  Seller:  Buyer: ",car
"Buyer: Hi I am interested in your bike is it still available? Seller: Yes, it is. I am asking 100 for it. Buyer: Could you tell me what kind of shape it is in?  Is there anything wrong with it? Seller: Some normal wear and tear, but in good condition and ready to ride. Buyer: Would you be able to take $75 for it today? Seller: I was hoping to get a bit more out of it so that I can buy a new one. Can we do 85? Buyer: Well if I do $85 can you possibly deliver?  It is a suprise for my husband and it would be great if I had it here when he gets home from work. Seller: Sure, I would be happy to deliver it to you for 85. Buyer: Thank you Buyer:  Seller: Thank you. Seller: ",bike
"Seller: Hello! Buyer: Hello. I am interested in your '13 Mercedes Benz.  Seller: Great!  Since the car is in such excellent condition I am seeking $20800 for it. Buyer: Okay, I see that it is in excellent condition.  I also see it has 53K miles on it. Could we lower the price to say, $18720? ",car
Seller: Hello. Thanks for viewing the listing. Buyer: Hi! Super truck. Is this still available? Seller: Yes it is. Buyer: What are the miles on this? Seller: 100000 miles Buyer: It seems like a bit of a fixer uper and has with high miles and the price is a little steep would you like to go down yo $20K if I picked this up?,car
"Buyer: Hello! Seller: Hello. Buyer: I saw your listing for the dining chair, and wanted to take it off of your hands. I see you mention it has a few nicks in it, how is its overall condition? Seller: Yes, there are a couple of small nicks, that have resulted from everyday usage.  Otherwise it is in excellent condition.  It is a reliable chair, we're just replacing our dining room furniture right now.  The cushion is also in excellent condition. Buyer: That sounds good, I am doing some redecorating myself, and wanted saw this chair was identical to one I already had. If you don't mind, I was hoping to lower the price to around $22, but I would be glad to come pick it up myself, and save you the hassle of shipping it out. Seller: I can easily let the chair go for $22, if I'm avoiding shipping costs. Buyer: I think we may have a deal then, thank you very much! Buyer:  Seller: ",furniture
"Buyer: Hello I am really interested in this product Seller: That's great. I'm interested in selling it to you. Buyer: How old is it?  Seller: The iphone 5 was first released in 2012, but I guess I don't remember when I bought it? It's almost like I would have remembered if I had thought to write it down in the product description. Oh well. Buyer: Thank you for the information. However, the price is too high for me. can we work on it? Seller: Yes, I suppose we can negotiate. Let's negotiate, that's what I always say. Buyer: I can pay about $82 for it Seller: Well, that's a pretty attractive offer. Now we just need to decide where to do the deal. Would you like to meet up in a Tmobile store or would you rather meet up at a gas station? Buyer: Gas station works really well for me. Thanks for the options. When can we do that? Seller: Well, I always think it's best to wait until it's really dark and spooky to meet up at a gas station, maybe we can meet up at midnight, exchange the phone and just see where the night takes us from there. Maybe get some slurpees from the gas station? Buyer: Okay I think we're done with the deal and will meet up tomorrow then! Thanks Buyer:  Seller: Great, looking forward to meeting you in a gas station. Seller: ",phone
"Seller: hi Buyer: Hi, tell me about the solid wood midcentury modern frame for a twin sized bed Seller: the head board is 40.5 high  Buyer: Perfect. That's exactly what I need. I can be over in fifteen minutes to pick it up. Lets do it for $100 since I'm going to cruise over right now and take it off your hands.  Seller: ok sounds great  Buyer:  Seller: ",furniture
"Buyer: Hi there. Is this available? Seller: yes Buyer: Is this used? Seller: Yes but it is in great shape Buyer: any scratches or rims? Seller: Nope. Like brand new. Buyer: okay good. The price is high for me can you accept 535 for it? Seller: It still has the service and warranty on it. I can go down to 575. Buyer: okay since its what I have been looking for months, I will take it. I haven't been able to get this for so long. Can you please ship it to me? Seller: Sure but depending on the cost I might have to add more to the price. Buyer: That's not a problem. Great then we've got the deal? Seller: Deal Seller:  Buyer: ",phone
"Buyer: Hello, I am interested in one of the iPhones Seller: hi Buyer: Does the iPhone function correctly?  Seller: yes, it just has a cracked screen Buyer: Sounds great. My carrier is not T-mobile. Can the phone be used with any other carrier? Seller: Sure. Buyer: Oh nice. Okay well I would be willing to pay $35 since I have to get the screen fixed. How does that sound? Seller: Good if you can come to Tracy and have  T mobile phone to trade.  Or I can just sell the one I phone for $35.",phone
"Buyer: Hello I am hoping to pay a little less than your offer of 500 and come down to 250 if at all possible can you work with me there? Seller: I can definitely negotiate but $250 i s really low.  I can do $250 if you might have something else to trade too. Buyer: Okay I can throw in some of these fantastic natural and holistic herbs that I got from a shaman while traveling overseas and they are great for the body, you cannot get them in USA.  I can add these and also some weights for you to work out with, do you like? Seller: Perfect we can do that. Buyer: Alright sounds like a deal and thank you for working with me! Buyer:  Seller: ",furniture
"Buyer: Hello, I am interested in your listing... Seller: For the bike? Well, it's less than a year old and is in good condition. I'm asking for 40$ for it. Buyer: $40 seems a bit high for a used 18"" Bike. I do like that it comes with training wheels though... Seller: Well, make me an offer then? I can also include a helmet. Buyer: With the training wheels and helmet I could go about $30 for a used bike of this size. Seller: Hmm... that's a little low for me. What do you say to 34$? Buyer: I could do $34 Buyer:  Seller: ",bike
"Seller: hi Buyer: 40 and I will clean your house Seller: I like the the 'cleaning my house' idea, but can you go down a bit on the bike? Buyer: Sure 20 Seller: it's basically just for parts, how about 15? Buyer: Im the buyer I think ;) Seller: oh right.. let's do 40 Buyer: How about 15... Its basically for parts. Just kidding 40 is good. Buyer:  Seller: ",bike
"Seller: Hello Buyer: I'll give you $20 Seller: That is a bit low. How bout we talk a bit more about it. Trust me. Buyer: it's not that fancy and it is used what were you hoping for? Seller: Well, the asking price is 40 dollars and I am willing to come down a little bit on price. Do you have any questions about this product? Buyer: well a new one is only 32 plus tax on Jet.com so why are you asking for $40? Seller: That's just where the price started out. Anyways, how about 30 dollars? How does that sound? Buyer: great, thank you Seller:  Buyer: ",bike
"Seller: Hi I was interested in purchasing the Sennheiser PXC 450 headphones from you Buyer: I'm the buyer...I'm interested in purchasing the headphones from you Seller: Sorry. Yes, I was selling them for $220 Seller: ",electronics
"Buyer: I would like to purchase the Apple EarPods, I am willing to offer $14 Seller: I am sorry the best I can do is $21 Buyer: I have owned these EarPods and know of their quality, could you go down to $16 Seller: As you well know then these are of the highest quality but because you have experience with these I will  go down to $18 . My final offer Buyer: ok I agree Buyer:  Seller: ",phone
"Buyer: Hello, I'm looking for an apartment. Can you tell me a bit more about this one? Seller: Hi there. Yes its in a great location. The listing has all the details which you can see. It has several malls and stores around that area.  Buyer: Are utilities included in the price? Seller: Yes they are  Buyer: If I sign a longer lease, like 2 years, can I get a lower price? Seller: I can give it to you for $2000 that's a discounted price right there Buyer: That sounds like a great! I'll take it Buyer:  Seller: Great! Seller: ",housing
"Buyer: Hi I'm interested in buying your storage unit Seller: Yeah sure, it's in great condition as you see, it looks basically brand new. There's a lot of space. I'm pretty firm on the $25 as this was much more new, anything else you'd like to know? Buyer: Is it metal or plastic? Seller: It has metal parts but the drawers are plastic. Buyer: Hmmm...since it's used and basically plastic I'd be afraid it would crack or break easily.  Would you be willing to accept $12? Seller: You couldn't find something like this for that cheap. How about $20 and you come pick it up?  Buyer: 15? Seller: Sure, we can do $15. Buyer:  Seller: ",furniture
"Buyer: Hi, how's it going? Seller: I'm great. How are you liking the chair? Buyer: It seems nice, what condition is it in? Seller: It's in good condition aside from the sun fading on the top. As you can see, I'm asking a very low price of $5 Buyer: I only have 2 $1 bills in my pocket. Can I just give you that? I know you're probably just going to throw it out if you don't sell it anyway. Seller: I understand these are hard times but I'm gonna have to ask for at least $4. I'm throwing in an amazing doily to go with it.",furniture
"Buyer: hi, I'm interested in your G37. Is it still available? Seller: Yes it is.  I am asking 10800 Buyer: Would you consider $9900 as it is a bit high on mileage?  Seller: Well let me tell you why I am asking so much,  it is basically in new condition, everything works well.  It does have high mileage but It is well kept.   Buyer: KBB comp for the year/model is 9900...how abour 9950? Seller: Are you picking it up or do I have to deliver it? Buyer: I will come pick up. Seller: Ok,  I will accept 9950 for it then. Seller:  Buyer: ",car
"Buyer: Hello Im interested in your West Elm Mid Century robbins storage coffe table, what can you tell me about it? Seller: Its brand new, Mid Century Robbins Storage Coffee table.  It sells on West Elm for 750, I am asking 500 Buyer: Hmm okay, I was looking to spend about $450, but Ill shell out the extra $50 since its so well made and mid century. I cant pass it down, Im in love with it. $500 it is! Thanks a lot! Buyer:  Seller: ",furniture
"Buyer: Hi this home really caught my attention. I really need it. Are you willing to sell it off? Seller: Are you interested in the house? Yes I am. Buyer: Yes I am. So how do we go about the deal because its too expensive  Seller: What do you suggest? I am flexible. Buyer: The price that I would want to pay is $2086? Seller: How about $2200 and I will throw in free internet and cable? Buyer: Well that's a big thing for me if you thrown in free internet and cable. When can we sign the deal?  Seller: I will offer the $2200 now,thanks enjoy your new home. Seller:  Buyer: Thank you! Buyer: ",housing
"Seller: Hello!  Looks like you're in the market for a great iPhone today? Buyer: Yes. Please may i know if i can unlock the Phone and use for other Naetwork carrier Seller: You can unlock it.  You'll need to check with your carrier, but it should be good to go for any major carrier. Buyer: Oh thanks. Can you tell me of the other features of the phone like the front and back camera mega pixels? Seller: You're looking at 9 MP.  I'm asking $320.  You won't be disappointed. Buyer: I see. Since the phone is not unlocked let me take it for $220.  Seller: Ooo.  That's a bit low.  I already had an offer of $275, but he didn't show.  I wouldn't want to go below $275. Buyer: $240 dollar is the most i can afford. Seller: If you come with cash within the hour, I'll let it go for $260.  Good? Buyer: Cant go beyond $240 sorry Buyer:  Seller: ",phone
Buyer: bike looks great. I am ready to purchase it. Could you deliver? Seller: sure! But I could add in some safety gear if you pick it up! Buyer: sounds great. how is 300? Buyer:  Seller: ,bike
"Buyer: Hi, I'm interested in your seat, but I'm not sure if I'd like to pay so much for it. Why should I? Seller: Well, it's in excellent condition due to the washable cover and the color is sure to match a wide variety of decors.  In addition, it's incredibly comfortable and durable. Buyer: I've actually had a slipcovered couch before. It was annoying and the cover always kept moving around and falling off. Will I have that problem with this?  Seller: It moves around a little, but is securely fastened at the back of the couch.  The seat has its own individual cover.  I don't think you'll have a problem with it, we never did. Buyer: That sounds good. I'll offer you $175 for it.  Seller: I think I could get more, but your offer seems reasonable.  I accept. Seller:  Buyer: ",furniture
"Seller: Hello, I received your email in regards to your interest in my 4 BR family home.  Buyer: i am very interested in renting your home. the only thing i would like to ask is if you could come down $2700? i would be willing to take care of all outside landlord related maintenance like the lawn in such for you Seller: Hmm, I was expecting to remain at $3200 firm BUT if you would do all the yard maintenance and gardening, I have lots of rose bushes that need care,  I think I can come down on the price. I will expect you to sign a 2 year lease for $2700 though.  Buyer: i think a two year lease for $2700 sounds completely fair.  Seller: Good, come on down and we will get all the paperwork checked out and settled.  Seller:  Buyer: ",housing
"Buyer: Hello. I saw your ad. I really would like to buy it for my kid. Is it a reliable equipment Seller: It is in great condition.  I would be willing to deliver it to you! Buyer: Great and do you have it in different colors? Seller: I only have the blue one, but it is in like new condition. Buyer: Okay, I can still use that, but now the price is an issue for me. What can we do about that? Seller: well, I will throw in free delivery and a 3 month warranty for the $100. Buyer: I can't afford $100 because I am not working full time. I just have a certain budget. I can only pay $76 for it Seller: That is a really big difference!  I will also throw in a helmet and bring the price down to $95.  So, you will get the bike, the helmet, delivery, and a 3 month warranty.  I feel that this is more than fair.  Wouldn't you agree? Buyer: I would appreciate if you waive the other options as I just want the bike for my kid. Can we work $80 for it? Seller: Can we split the difference and agree on 87.50? Buyer: okay I think I can do that by taking in more hours at work at least my kid will be happy :) Seller: Agreed, thank you! Buyer:  Seller: ",bike
"Seller: Hello Buyer: Hi there, West Oakland is really dangerous, but I need a new place for my friends and I. Seller: Great. Well, this is a great place for you. This place is very nice.  Buyer: Cool, We each have about 500 each, theres five of us that's like 2500 Seller: That is a bit low. How about 3300? That is almost 400 less than what I was asking originally. Buyer: Ummm that's like 660 each, uh can we do 650 times 5? It's easier for everybody to understand for some reason, like 3250? Seller: I could work with that. 3250 nounds good. You got a deal my friend. Seller:  Buyer: ",housing
"Seller: Hi! Buyer: Hi! I am intereted in your tv mount.  Seller: It is brand new. I haven't open it since my birthday Buyer: That is great! Since it is used and I can't get any help if something is broken or missing, I would be looking to pay around 40 dollars and I can come pick it up with cash in hand today. Seller: I am looking for $90.. but if you can pick it up today, I'll give it for 65 Buyer: How about we split the difference and go with 50? Seller: Ok.. it's a deal. nice talking with you Buyer:  Seller: ",electronics
"Seller: good morning! Buyer: Good morning :) can i get some more info on this Wardrobe please  Seller: Certainly! It's in good condition 70'x24'x17' Buyer: Do you think a stroller would fit inside it, i'm thinking it would fit in my hallway as like a coat closet or something, do you think it would work for that? Seller: Oh yes, a stroller when it is folded up and placed on a rail. Yes, that should work depending how large the stroller is. Coats and jackets yes. And it'll look clean and ordered inside and closed Buyer: Awesome, can you deliver? Seller: Actually, I am sorry but cannot. Buyer: Would you take $20 for it? Seller: Sure! Seller:  Buyer: ",furniture
"Buyer: Hi, can you tell me more about the battery cover? does this come with it? Seller: sorry, hang on a sec Buyer: ok Seller: basically, it's just a cover that protects the battery, light skeen of plastic, keeps the water out and stuff Buyer: cool, 10 is a little pricey, how about 5? Seller: weelll... keep in mind it IS brand new... hasn't been used... ten is about what you'd normally pay.. tell you what, I could knock off twenty percent and do eight    Buyer: I can do 7 and I will pick it up now? Buyer:  Seller: ",phone
"Buyer: Hello Seller: Hello, how are you doing today. My wife and I just bought this bed and we have to relocate immediately and cannot take the bed with us. I am offering it for $900 Buyer: I see it's from IKEA right? Hmm, I am afraid it won't last for a long time Seller: It is a brand new bed and yes it is from IKEA Buyer: I know IKEA does not have very quality items. What are the dimensions? Seller: I am not sure of the dimensions but it is a King sized bed and it is brand new.  Buyer: Hmm, is delivery cost included in the price? Seller: If you would like we can drop it off for you if you. Buyer: Nice. What is the lowest offer you can accept, I was hopring around 770-780$ cause I am not sure for the durability and quality. Seller: It is brand new and it is a King sized bed. I can do $800 and have it delivered to you today. Buyer:  Seller: ",furniture
"Buyer: Hi I am interested in your phone. Is it in good condition? Seller: It's in great condition. Its a classic iphone 4 model with great memory, its reset to factorys settings. Buyer: This phone is a little dated. Would you be willing to take $42 for it? Seller: I understand that it is an older model however I would take $55 for it. Buyer: I would pay $55 if I could pick it up within the next hour. Seller: great sounds like a plan. I will see you in an hour Buyer:  Seller: ",phone
"Seller: Hello Buyer: Hi is it still available? Seller: Yes it is. I am selling it for 50 dollars.  Buyer: how old is the battery? Seller: It is pretty new. I have only had it for a month and I bought it new.  Buyer: why are selling it ? Seller: I have another one,and I do not need two. Wanna come by and take a look at it? Buyer: I will give you $45 cash, deal? Seller: That sounds good. What time will you be by? Buyer: whenever works for you Seller: 330 Buyer:  Seller:  Seller: ",electronics
"Buyer: Hello Seller: Hi! Interested in the Helix? Buyer: I am. Is it in good condition? I have been looking for a quality one for some time now. Seller: It's brand-new, in the box, still sealed. As good a condition as you can get! Buyer: Great news. How much would you like for it? Seller: It's listed on Amazon at $839, but I'm willing to let it go for less, obviously.  Buyer: I was hoping to pay around 400 dollars. Seller: That's a little low, less than half what you'd get it for in store. Can we bring that up some? Maybe $550? Buyer: 550 sounds good. Can I pick it up today? Seller: Sure! Works for me! Thanks.  Buyer:  Seller: ",electronics
"Seller: Brand new phone, never used.  Buyer: hey i love samsung  Seller: Cool, then you'll love this phone.  Buyer: great o i have $454 right now for the phone $454!1 Seller: I'm starting at $650, don't insult me with such a low price.  Buyer: definately NOT an insult!! since you got the phone through your work will I be able to activate without an issue? Seller: Yes, definitely. Please make an offer. ",phone
"Seller: Hello, Are you interested in buying my car? Buyer: I believe I am. The first moment I seen the ad I feel in love with the Chevrolet. Can you tell me a little more about it. Has the engine been serviced anytime since 1959 and what's the milage?  Seller: The engine is in great condition. It has 150,000 miles, but it's vintage. There's absolutely no rust since it was kept in a garage. Buyer: Yes, it seems in perfect shape for a barn find! I see that you are asking $15,000 for the truck. But at the moment I am on a tight budget. Would you be willing to take $10,500 for it? I would love to fix it up for my car shows. Seller: It's in excellent condition. I'd take $12,000 for it. Buyer: Well, that seems fair for a great antique. Sold! Let me know where to go and I'll send out a tow truck to pick it up.  Buyer:  Seller: ",car
"Buyer: Hi I just saw your bed. My father in law just moved in with us and is quite sick. I have been looking for one of these for him. What kind of shape is it in? Seller: It is in excellent shape. Plus, I have a new mattress for it. Buyer: Great. I know they are alot new but I do not have a lot to spend on it. I could go as high as 1600. Seller: I understand, but I need a little more. If I included the electric blanket we were using with it, would you do 1700? Buyer: I needed to get that also so that would be a good deal. I can do the 1700 and I will even pick it up at your convenience. Do we have a deal? Seller: You got it. Seller:  Buyer: ",furniture
